LBT_FD;Financiële data landbouw;
GBAADRESBUITENLANDBUS;GBAADRESBUITENLANDJJJJBUSVV;
GBAADRESGEBEURTENISBUS;GBAADRESGEBEURTENISJJJJBUSVV;
GBAADRESOBJECTBUS;GBAADRESOBJECTJJJJBUSVV;
GBABURGERLIJKESTAATBUS;GBABURGERLIJKESTAATJJJJBUSVV;
GBAHUISHOUDENSBUS;gbahuishoudensjjjjbusvv;
GBAKINDBUS;GBAKINDJJJJBUSVV;
GBALEVENDGEBORENENMASSATAB;gbalevendgeborenenmassajjjjtabvv;
GBAMIGRATIEGEBEURTENISBUS;GBAMIGRATIEGEBEURTENISJJJJBUSVV;
GBAMIGRATIEBUS;GBAMIGRATIEJJJJBUSVV;
GBANATGEWIJZIGDENMASSABUS;GBANatGewijzigdenMassaJJJJBUSvv;
GBANATIONALITEITBUS;GBANATIONALITEITJJJJBUSVV;
GBAOVERLIJDENTAB;GBAOVERLIJDENJJJJTABVV;
GBAPERSOONTAB;GBAPERSOONJJJJTABVV;
GBASAMENWONERSBUS;GBASAMENWONERSJJJJBUSVV;
GBASCHEIDINGENMASSATAB;GBASCHEIDINGENMASSAJJJJTABVV;
GBASTANDBEVOLKINGTAB;GBASTANDBEVOLKINGJJJJTABVV;
GBASTERFTENMASSATAB;Gbasterftenmassajjjjtabvv;
LMR_GBA_UNICITEIT;gbauniciteitcompleet1995-jjjjmmdd;
GBAVERBINTENISPARTNERBUS;GBAVERBINTENISPARTNERJJJJBUSVV;
GBAVERBINTENISSENMASSATAB;GBAVERBINTENISSENMASSAJJJJTABVV;
GBAVERWEDUWDENMASSABUS;GBAVERWEDUWDENMASSAJJJJBUSVV;
GEBWLZTAB;GEBWLZJJJJTABVV;
GEBWMOTAB;gebwmojjjjtabvv;
GEBZZVTAB;gebzzvjjjjtabvv;
GEDETINEERDENTAB;GEDETINEERDENJJJJTABVV;
GEMEENTESTPLTAB;GEMEENTESTPLJJJJTABVV;
GEMSTPLAATSBUS;GEMSTPLAATSJJJJMMBUSVV;
GEMSTPLBUS;GEMSTPLJJJJMMBUSVV;
GEMWIJKSTPLTAB;GEMWIJKSTPLJJJJTABVV;
GECON;GEZOJJJJ;
GGDCOVID19BM;GGDCOVID19besmettingsmeldingen;
GGZDBCDIAGNOSEHOOFDDIAGTAB;GGZDBCDiagnoseHOOFDDIAGJJJJTABVV;
GGZDBCDIAGNOSETAB;GGZDBCDiagnoseJJJJTABVV;
GGZDBCGELEVERDZORGPROFIELTAB;GGZDBCGeleverdZorgprofielJJJJTABVV;
GGZDBCTRAJECTENHOOFDDIAGTAB;GGZDBCtrajectenHOOFDDIAGJJJJTABVV;
GGZDBCTRAJECTENTAB;GGZDBCtrajectenJJJJTABVV;
GGZDBCZRGPROFIELHOOFDDIAGTAB;GGZDBCZrgprofielHOOFDDIAGJJJJTABVV;
GPE;GPEJJJJ;
GRBSTAB;GRBSJJJJTABVV;
GVCIS;GVC&IS;
GWUBEROEPBUS;GWUBeroepJJJJBUSVV;
GWUBUS;GWUJJJJBUSVV;
HALTTAB;HALTJJJJTABVV;
HDIPLOMAHBOTAB;HDIPLOMAHBOJJJJTABVV;
HDIPLOMAREGTAB;HDIPLOMAREGJJJJTABvv;
HDIPLOMAWOTAB;HDIPLOMAWOJJJJTABVV;
HFDBAANBUS;hfdbaanjjjjbusvv;
HJLKTAB;HJLKjjjjTABvv;
HKSTAB;HKSJJJJTABVV;
HOOGSTEOPLTAB;HOOGSTEOPLJJJJTABVV;
HUISGENOTENNETWERKTAB;HUISGENOTENNETWERKJJJJTABVV;
IHI;HUISHBVRINKJJJJTABVV;
HUURENQUETE;huurenqueteJJJJMM;
ICTBEDRIJVEN;ICTJJJJ;
ICTHHPERS;ICTJJJJ;
INWARD_FATS;IFATSJJJJ;
IHG;IHG_CvB1_jjj;
IBHV;Incidenten branden en hulpverleningen jjjj;
INDICAWBZTAB;INDICAWBZJJJJTABVV;
INDICWLZTAB;INDICWLZJJJJTABVV;
INHATAB;INHAJJJJTABVV;
INVESTERINGEN;INIVA_DC_Regio_JJJJ;
INPATAB;INPAJJJJTABVV;
INPBEIDTAB;INPBEIDJJJJTABVV;
INPHHKERNTAB;INPHHKERNJJJJTABVV;
INSCHRWECTAB;INSCHRWECJJJJTABVV;
INSCHRWPOTAB;INSCHRWPOJJJJTABVV;
INSTROOMOMTAB;INSTROOMOMJJJJTABVV;
IOWUITKERING1ATAB;IOWUITKERING1AJJJJMMTABVV;
IPOREVA;IPOREVAJJJJR;
IWOTAB;IWOJJJJTABVV;
JGDBESCHERMBUS;JGDBESCHERMJJJJBUSVV;
JGDHULPBUS;JGDHULPJJJJBUSVV;
JGDRECLASBUS;JGDRECLASJJJJBUSVV;
JZPLUSTAB;JZPLUSJJJJTABVV;
KENHUURCN;KENHUURCN;
KINDEROPVANGLOCATIES;Kenmerken van kinderopvanglocaties;
KINDOUDERTAB;KINDOUDERJJJJTABVV;
KLASGENOTENNETWERKTAB;KLASGENOTENNETWERKJJJJTABVV;
KOPPELTABELIKVIDBAANRUGIDTAB;KOPPELTABELIKVIDBAANRUGIDJJJJTABVV;
LBZBASISTAB;LBZBASISJJJJTABVV;
LBZDIAGNOSENTAB;LBZDIAGNOSENJJJJTABVV;
LEVCYCLWOONNIETWOONBUS;LEVCYCLWOONNIETWOONBUSVV;
LINH-CLIËNTEN;linhclientjjjjtabvv;
LINH-EPISODE;linhprevalentiesjjjjtabvv;
LINH-VERRICHTINGEN;linhverjjjjtabvv;
LMo;LMoJJJJ;
LMR_BASIS;LMRbasis2012;
LMR_DIAGN;LMRdiagnosen2012;
LMR_VERRICHT;LMRverrichtingen2011;
LOGIESEXPLPROV;LogiesexploitatieprovincieJJJJMM;
LOGIESEXPLTG;LogiesexploitatietoeristengebiedJJJJMM;
LOGIESINVENT;LogiesinventarisatieJJJJ;
LSB;LSB2020;
LSO;LSOJJJJ;
MEDICIJNTAB;MEDICIJNJJJJTABVV;
MICANWPERSOONBUS;MICANWPERSOONJJJJBUSVV;
MICAOTOTPERSOONBUS;MICAOTOTPERSOONJJJJBUSVV;
MICAOWPERSOONBUS;MICAOWPERSOONJJJJBUSVV;
MIGMOTIEFBUS;MIGMOTIEFBUSVV;
MKB;MKB, Milieu-uitgaven;
MLKLASSEBUS;MLKLASSEJJJJBUSVV;
MSZGELEVERDZORGPROFIELTAB;MSZGeleverdZorgprofielJJJJTABVV;
MSZOVERIGEZORGPRODUCTENTAB;MSZOverigeZorgproductenJJJJTABVV;
MSZPRESTATIESVEKTTAB;MSZPrestatiesVEKTJJJJTABVV;
MSZSUBTRAJECTENTAB;MSZSubtrajectenJJJJTABVV;
MSZZORGACTIVITEITENVEKTTAB;MSZZorgactiviteitenVEKTJJJJTABVV;
NABIJHEIDCULTUURTAB;NABIJHEIDCULTUURJJJJTABVV;
NABIJHEIDDETAILHTAB;NABIJHEIDDETAILHJJJJTABVV;
NABIJHEIDGROENVOORZTAB;NABIJHEIDGROENVOORZJJJJTABVV;
